# |V|, density, cputime
27.000000,0.321937,-0.000222
44.000000,0.461945,-0.000944
47.000000,0.542091,-0.001311
40.000000,0.651282,-0.001174
42.000000,0.754936,-0.001252
44.000000,0.859408,-0.001350
32.000000,0.318548,-0.000493
45.000000,0.455556,-0.000901
40.000000,0.556410,-0.000809
32.000000,0.629032,-0.000701
32.000000,0.729839,-0.000893
31.000000,0.840860,-0.000722
33.000000,0.329545,-0.000396
45.000000,0.455556,-0.001037
24.000000,0.514493,-0.000295
47.000000,0.640148,-0.001626
23.000000,0.735178,-0.000464
27.000000,0.834758,-0.000623
24.000000,0.318841,-0.000186
42.000000,0.450639,-0.000785
20.000000,0.515789,-0.000209
20.000000,0.642105,-0.000267
45.000000,0.761616,-0.001689
50.000000,0.853878,-0.001850
34.000000,0.335116,-0.000471
20.000000,0.421053,-0.000186
48.000000,0.542553,-0.001375
50.000000,0.645714,-0.001980
46.000000,0.754589,-0.001664
27.000000,0.834758,-0.000512
29.000000,0.325123,-0.000316
27.000000,0.441595,-0.000308
45.000000,0.552525,-0.001197
46.000000,0.642512,-0.001120
41.000000,0.757317,-0.001187
36.000000,0.841270,-0.001018
39.000000,0.340081,-0.000559
23.000000,0.422925,-0.000245
30.000000,0.540230,-0.000706
25.000000,0.646667,-0.000469
49.000000,0.751701,-0.001814
22.000000,0.848485,-0.000360
48.000000,0.342199,-0.000916
42.000000,0.450639,-0.000877
43.000000,0.557032,-0.000933
25.000000,0.646667,-0.000370
28.000000,0.748677,-0.000313
49.000000,0.852891,-0.001782
49.000000,0.344388,-0.001146
41.000000,0.457317,-0.000767
36.000000,0.547619,-0.000623
34.000000,0.638146,-0.000741
34.000000,0.734403,-0.000894
43.000000,0.857143,-0.001342
41.000000,0.347561,-0.000428
49.000000,0.447279,-0.001188
50.000000,0.545306,-0.001384
43.000000,0.651163,-0.001316
29.000000,0.741379,-0.000701
49.000000,0.852891,-0.002016
32.000000,0.318548,-0.000331
47.000000,0.446809,-0.001165
50.000000,0.545306,-0.001520
29.000000,0.637931,-0.000574
21.000000,0.742857,-0.000244
49.000000,0.852891,-0.001850
37.000000,0.337838,-0.000541
23.000000,0.422925,-0.000224
33.000000,0.534091,-0.000581
24.000000,0.634058,-0.000481
22.000000,0.740260,-0.000347
27.000000,0.834758,-0.000507
42.000000,0.342625,-0.000598
40.000000,0.456410,-0.000660
29.000000,0.536946,-0.000420
46.000000,0.642512,-0.001348
39.000000,0.750337,-0.001155
49.000000,0.852891,-0.001780
39.000000,0.340081,-0.000577
34.000000,0.447415,-0.000497
43.000000,0.557032,-0.001030
26.000000,0.652308,-0.000390
31.000000,0.735484,-0.000713
40.000000,0.844872,-0.001222
40.000000,0.344872,-0.000503
37.000000,0.448949,-0.000635
33.000000,0.534091,-0.000444
48.000000,0.642730,-0.001806
41.000000,0.757317,-0.001423
22.000000,0.848485,-0.000430
23.000000,0.316206,-0.000189
32.000000,0.425403,-0.000558
44.000000,0.560254,-0.001374
36.000000,0.649206,-0.000972
48.000000,0.751773,-0.001854
27.000000,0.834758,-0.000466
48.000000,0.342199,-0.001352
25.000000,0.433333,-0.000288
26.000000,0.541538,-0.000323
27.000000,0.649573,-0.000622
47.000000,0.751156,-0.002020
38.000000,0.847795,-0.001240
32.000000,0.318548,-0.000329
44.000000,0.461945,-0.001143
45.000000,0.552525,-0.001127
47.000000,0.640148,-0.001455
43.000000,0.761905,-0.001599
26.000000,0.843077,-0.000542
23.000000,0.316206,-0.000155
30.000000,0.436782,-0.000357
45.000000,0.552525,-0.000992
37.000000,0.650150,-0.000921
33.000000,0.729167,-0.000694
27.000000,0.834758,-0.000552
26.000000,0.320000,-0.000235
32.000000,0.425403,-0.000442
46.000000,0.546860,-0.001133
43.000000,0.651163,-0.001254
39.000000,0.750337,-0.001169
20.000000,0.842105,-0.000260
46.000000,0.342995,-0.000893
31.000000,0.425806,-0.000368
45.000000,0.552525,-0.001113
41.000000,0.652439,-0.001199
47.000000,0.751156,-0.002146
21.000000,0.847619,-0.000346
23.000000,0.316206,-0.000199
23.000000,0.422925,-0.000259
39.000000,0.551957,-0.000852
50.000000,0.645714,-0.001821
50.000000,0.751020,-0.002283
27.000000,0.834758,-0.000461
44.000000,0.349894,-0.000627
38.000000,0.455192,-0.000667
31.000000,0.533333,-0.000435
34.000000,0.638146,-0.000748
48.000000,0.751773,-0.001605
23.000000,0.837945,-0.000459
39.000000,0.340081,-0.000455
48.000000,0.446809,-0.001135
32.000000,0.528226,-0.000497
34.000000,0.638146,-0.000894
41.000000,0.757317,-0.001297
50.000000,0.853878,-0.002072
34.000000,0.335116,-0.000425
23.000000,0.422925,-0.000251
49.000000,0.544218,-0.001551
29.000000,0.637931,-0.000498
36.000000,0.741270,-0.001194
21.000000,0.847619,-0.000379
29.000000,0.325123,-0.000266
46.000000,0.450242,-0.001299
32.000000,0.528226,-0.000531
46.000000,0.642512,-0.001064
41.000000,0.757317,-0.001158
38.000000,0.847795,-0.001203
38.000000,0.339972,-0.000509
32.000000,0.425403,-0.000413
20.000000,0.515789,-0.000395
48.000000,0.642730,-0.001738
50.000000,0.751020,-0.002044
46.000000,0.854106,-0.001776
38.000000,0.339972,-0.000437
47.000000,0.446809,-0.001052
48.000000,0.542553,-0.001370
33.000000,0.630682,-0.000721
20.000000,0.731579,-0.000286
41.000000,0.851220,-0.001561
37.000000,0.337838,-0.000477
34.000000,0.447415,-0.000590
23.000000,0.521739,-0.000269
45.000000,0.648485,-0.001345
32.000000,0.729839,-0.000826
46.000000,0.854106,-0.001647
21.000000,0.304762,-0.000136
40.000000,0.456410,-0.000728
23.000000,0.521739,-0.000280
40.000000,0.651282,-0.001015
36.000000,0.741270,-0.001044
22.000000,0.848485,-0.000584
50.000000,0.344490,-0.000919
43.000000,0.457364,-0.000873
29.000000,0.536946,-0.000386
32.000000,0.629032,-0.000617
30.000000,0.744828,-0.000487
32.000000,0.834677,-0.000957
